r3000,r5000,noxevent,r2000,coevent,system_time,gps_time,latitude,longitude
15,27,181,28,3,2018-03-06 14:26:32.468370,14:26:32,52.565067166666665,13.409508333333333
15,27,181,28,3,2018-03-06 14:26:33.536915,14:26:33,52.56506366666667,13.409505333333334
15,27,181,28,3,2018-03-06 14:26:34.585263,14:26:34,52.5650595,13.409502333333334
15,27,181,28,3,2018-03-06 14:26:35.637094,14:26:35,52.565056,13.4094995
15,27,181,28,3,2018-03-06 14:26:36.656840,14:26:36,52.56505283333333,13.409496833333334
15,27,181,28,3,2018-03-06 14:26:37.687375,14:26:37,52.56504966666667,13.409494
15,27,181,28,3,2018-03-06 14:26:38.718393,14:26:38,52.565046833333334,13.4094915
15,27,181,28,3,2018-03-06 14:26:39.732702,14:26:39,52.565044,13.409489166666667
15,27,181,28,3,2018-03-06 14:26:40.848676,14:26:40,52.565040833333335,13.4094865
15,27,181,28,3,2018-03-06 14:26:41.958850,14:26:41,52.565038,13.409484166666667
15,27,181,28,3,2018-03-06 14:26:43.008912,14:26:42,52.565035333333334,13.409482
15,27,181,28,3,2018-03-06 14:26:44.092842,14:26:43,52.565033,13.40948
15,27,181,28,3,2018-03-06 14:26:45.135922,14:26:44,52.565031166666664,13.4094785
15,27,181,28,3,2018-03-06 14:26:46.168269,14:26:46,52.5650315,13.409481333333334
15,27,181,28,3,2018-03-06 14:26:47.234173,14:26:47,52.565028833333336,13.4094805
15,27,181,28,3,2018-03-06 14:26:48.269875,14:26:48,52.56502666666667,13.409480666666667
15,27,181,28,3,2018-03-06 14:26:49.302093,14:26:49,52.5650285,13.409479666666666
15,27,181,28,3,2018-03-06 14:26:50.333724,14:26:50,52.56502733333333,13.4094775
15,27,181,28,3,2018-03-06 14:26:51.349280,14:26:51,52.56502583333334,13.409475166666667
15,27,181,28,3,2018-03-06 14:26:52.369285,14:26:52,52.5650245,13.409474166666667
15,27,181,28,3,2018-03-06 14:26:53.406143,14:26:53,52.565023,13.409473
15,27,181,28,3,2018-03-06 14:26:54.497595,14:26:54,52.565024333333334,13.409472333333333
15,27,181,28,3,2018-03-06 14:26:55.545883,14:26:55,52.56502566666666,13.4094715
15,27,181,28,3,2018-03-06 14:26:56.583138,14:26:56,52.565026333333336,13.4094715
15,27,181,28,3,2018-03-06 14:26:57.612782,14:26:57,52.565027666666666,13.409472333333333
